Content,Video title,Video publish time,Duration,Thumbnail impressions,Thumbnail click-through rate (%),Views,Average view duration,Watch time (hours)
IN4ddh80a84,your digital footprint is looking SO insane 🤯 #katseye #tiktokdance #dance #shorts,"Jul 7, 2026",32,143,2.1,11,0:00:12,0.0254
D8aFlrlQqo8,#iconicbymistake #dancefail,"Jul 8, 2026",20,130,0.77,9,0:00:06,0.006
aH0b-EScIJs,GO! GO! GO! GO! #fifa #fifa2026,"Jul 11, 2026",16,145,0,8,0:00:07,0.0076
ds9hSI8iBLo,14 de agosto de 2026,,19,81,2.47,7,0:00:20,0.0232
mtHKtrtMHZk,RED RED OR GO!? #cortis #cortisredred #cortisgo #dance #shorts,"Jul 9, 2026",11,160,0,7,0:00:04,0.0044
jHdXERUQ04U,1am brain dumps hit different 😵‍💫 rate the face card tho #shorts,"Jul 9, 2026",16,143,0,7,0:00:04,0.0042
 --ZFiEcsp3A,i drive at a faster pace #fypシ゚viral #trendingshorts #youtubeshorts #ytshorts #shortsviral #cortis,,20,309,0.97,6,0:00:20,0.0232
pMmnTHve-hg,'Hootie Frutti' On Your Tounge 🙀💋 #ayodesci #katseye,,16,50,2,6,0:00:46,0.0258
eyaA5Z4XYeM,‘CHAT’ @GIRLSET Tiktok Dance Tutorial #girlset #girlset_chat #fypviralシviral,,125,120,0.83,5,0:03:44,0.1246
n2NuR9nZ0EY,18 de agosto de 2026,,16,43,4.65,4,0:00:06,0.0051
SQFB08FJlNU,ICONIC BY MISTAKE (Ayo’s. ver.) 🚨 wait till I go full out.. #dance #katseye #illit #kpop,"Jul 14, 2026",20,139,0.72,4,0:00:19,0.0071
8Pc6eI_lcq4,Attempting KATSEYE’s ANIMAL Dance 🐾🔥 #katseye #shorts #dance,,34,53,1.89,4,0:01:11,0.0205
fBEkWp3clxA,5 de agosto de 2026,,27,92,2.17,3,0:00:06,0.0044
AnJM_AyCqkg,KATSEYE In Public,,37,11,9.09,2,0:00:17,0.0098
n3kP5ESz5Ig,Keep ya secret safe with me,,28,244,0.41,2,0:00:20,0.006
K--0YgqRWcc,22 de agosto de 2026,,19,33,0,2,,0.0011
tvBi-FmoNh4,‘CHAT’ @GIRLSET Dance Practice #girlset #ayodesci #trendingdance #trending #shorts,,38,53,3.77,2,0:00:11,0.0063
rK-wAnKoz0M,18 de agosto de 2026,,38,56,1.79,2,0:00:13,0.0074
QjEMyCFR2Ao,if you needed a sign to reset your energy… this is it #affirmations #fyp,"Jul 9, 2025",35,0,,1,,0.0001
Dpgq_SQjT_s,How The BWMHI Got Written Into the State Budget in Under 2 Years #blackinstem,"Jun 22, 2025",55,3,33.33,1,0:00:06,0.0018
KOTz987l8fg,Momento destacado de transmisión en vivo,,55,67,1.49,1,0:00:43,0.012
UKuZw9A3cx0,22 de agosto de 2026,,16,30,3.33,1,0:00:04,0.0012
ShSWie0fGng,26 de julio de 2026,,34,31,3.23,1,0:00:05,0.0014
DlnxuxiK_zQ,if this video found you get ready for better days #newmusicmondays,"Sep 1, 2025",41,1,0,,,
HNMedZDxMMY,How to Get Involved with the Black Women’s Mental Health Institute | Dr. Nadia Johnson #SIS25,"Jun 23, 2025",65,3,0,,,
cD3NjhMW918,Back To School Unpopular Opinions,"Aug 20, 2025",16,1,0,,,
l0aYGLcSiyE,What Black Women Face at Predominantly White Institutions | Mental Health & Academia #blackinstem,"Jun 22, 2025",58,1,0,,,
gS67ZBCBv8w,‘Hootie Frutti’ On Your Tounge #ayodesci,,19,50,0,,,
-8Zux7hrR7w,3 Affirmations for Momentum #ascensiontools #backtoschool2025,"Aug 21, 2025",33,1,0,,,
